date,date_key,year,quarter,year_quarter,month_number,month,month_short,year_month,week_number,day,day_of_week,day_of_week_num,is_weekend
2014-01-03,20140103,2014,Q1,2014-Q1,1,January,Jan,2014-01,1,3,Friday,5,0
2014-01-04,20140104,2014,Q1,2014-Q1,1,January,Jan,2014-01,1,4,Saturday,6,1
2014-01-05,20140105,2014,Q1,2014-Q1,1,January,Jan,2014-01,1,5,Sunday,7,1
2014-01-06,20140106,2014,Q1,2014-Q1,1,January,Jan,2014-01,2,6,Monday,1,0
2014-01-07,20140107,2014,Q1,2014-Q1,1,January,Jan,2014-01,2,7,Tuesday,2,0
2014-01-08,20140108,2014,Q1,2014-Q1,1,January,Jan,2014-01,2,8,Wednesday,3,0
2014-01-09,20140109,2014,Q1,2014-Q1,1,January,Jan,2014-01,2,9,Thursday,4,0
2014-01-10,20140110,2014,Q1,2014-Q1,1,January,Jan,2014-01,2,10,Friday,5,0
2014-01-11,20140111,2014,Q1,2014-Q1,1,January,Jan,2014-01,2,11,Saturday,6,1
2014-01-12,20140112,2014,Q1,2014-Q1,1,January,Jan,2014-01,2,12,Sunday,7,1
2014-01-13,20140113,2014,Q1,2014-Q1,1,January,Jan,2014-01,3,13,Monday,1,0
2014-01-14,20140114,2014,Q1,2014-Q1,1,January,Jan,2014-01,3,14,Tuesday,2,0
2014-01-15,20140115,2014,Q1,2014-Q1,1,January,Jan,2014-01,3,15,Wednesday,3,0
2014-01-16,20140116,2014,Q1,2014-Q1,1,January,Jan,2014-01,3,16,Thursday,4,0
2014-01-17,20140117,2014,Q1,2014-Q1,1,January,Jan,2014-01,3,17,Friday,5,0
2014-01-18,20140118,2014,Q1,2014-Q1,1,January,Jan,2014-01,3,18,Saturday,6,1
2014-01-19,20140119,2014,Q1,2014-Q1,1,January,Jan,2014-01,3,19,Sunday,7,1
2014-01-20,20140120,2014,Q1,2014-Q1,1,January,Jan,2014-01,4,20,Monday,1,0
2014-01-21,20140121,2014,Q1,2014-Q1,1,January,Jan,2014-01,4,21,Tuesday,2,0
2014-01-22,20140122,2014,Q1,2014-Q1,1,January,Jan,2014-01,4,22,Wednesday,3,0
2014-01-23,20140123,2014,Q1,2014-Q1,1,January,Jan,2014-01,4,23,Thursday,4,0
2014-01-24,20140124,2014,Q1,2014-Q1,1,January,Jan,2014-01,4,24,Friday,5,0
2014-01-25,20140125,2014,Q1,2014-Q1,1,January,Jan,2014-01,4,25,Saturday,6,1
2014-01-26,20140126,2014,Q1,2014-Q1,1,January,Jan,2014-01,4,26,Sunday,7,1
2014-01-27,20140127,2014,Q1,2014-Q1,1,January,Jan,2014-01,5,27,Monday,1,0
2014-01-28,20140128,2014,Q1,2014-Q1,1,January,Jan,2014-01,5,28,Tuesday,2,0
2014-01-29,20140129,2014,Q1,2014-Q1,1,January,Jan,2014-01,5,29,Wednesday,3,0
2014-01-30,20140130,2014,Q1,2014-Q1,1,January,Jan,2014-01,5,30,Thursday,4,0
2014-01-31,20140131,2014,Q1,2014-Q1,1,January,Jan,2014-01,5,31,Friday,5,0
2014-02-01,20140201,2014,Q1,2014-Q1,2,February,Feb,2014-02,5,1,Saturday,6,1
2014-02-02,20140202,2014,Q1,2014-Q1,2,February,Feb,2014-02,5,2,Sunday,7,1
2014-02-03,20140203,2014,Q1,2014-Q1,2,February,Feb,2014-02,6,3,Monday,1,0
2014-02-04,20140204,2014,Q1,2014-Q1,2,February,Feb,2014-02,6,4,Tuesday,2,0
2014-02-05,20140205,2014,Q1,2014-Q1,2,February,Feb,2014-02,6,5,Wednesday,3,0
2014-02-06,20140206,2014,Q1,2014-Q1,2,February,Feb,2014-02,6,6,Thursday,4,0
2014-02-07,20140207,2014,Q1,2014-Q1,2,February,Feb,2014-02,6,7,Friday,5,0
2014-02-08,20140208,2014,Q1,2014-Q1,2,February,Feb,2014-02,6,8,Saturday,6,1
2014-02-09,20140209,2014,Q1,2014-Q1,2,February,Feb,2014-02,6,9,Sunday,7,1
