row_id,order_id,order_date,ship_date,ship_mode,customer_id,postal_code,product_id,sales,quantity,discount,profit,shipping_days,profit_margin,ship_mode_id,order_date_key,ship_date_key
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,42420,FUR-BO-10001798,261.96,2,0.0,41.9136,3,0.16,3,20161108,20161111
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,42420,FUR-CH-10000454,731.94,3,0.0,219.582,3,0.3,3,20161108,20161111
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,90036,OFF-LA-10000240,14.62,2,0.0,6.8714,4,0.47,3,20160612,20160616
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,33311,FUR-TA-10000577,957.5775,5,0.45,-383.031,7,-0.4,4,20151011,20151018
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,33311,OFF-ST-10000760,22.368,2,0.2,2.5164,7,0.1125,4,20151011,20151018
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,FUR-FU-10001487,48.86,7,0.0,14.1694,5,0.29,4,20140609,20140614
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,OFF-AR-10002833,7.28,4,0.0,1.9656,5,0.27,4,20140609,20140614
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,TEC-PH-10002275,907.152,6,0.2,90.7152,5,0.1,4,20140609,20140614
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,OFF-BI-10003910,18.504,3,0.2,5.7825,5,0.3125,4,20140609,20140614
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,OFF-AP-10002892,114.9,5,0.0,34.47,5,0.3,4,20140609,20140614
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,FUR-TA-10001539,1706.184,9,0.2,85.3092,5,0.05,4,20140609,20140614
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,TEC-PH-10002033,911.424,4,0.2,68.3568,5,0.075,4,20140609,20140614
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,28027,OFF-PA-10002365,15.552,3,0.2,5.4432,5,0.35,4,20170415,20170420
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,98103,OFF-BI-10003656,407.976,3,0.2,132.5922,5,0.325,4,20161205,20161210
15,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,76106,OFF-AP-10002311,68.81,5,0.8,-123.858,4,-1.8,4,20151122,20151126
16,US-2015-118983,2015-11-22,2015-11-26,Standard Class,HP-14815,76106,OFF-BI-10000756,2.544,3,0.8,-3.816,4,-1.5,4,20151122,20151126
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,53711,OFF-ST-10004186,665.88,6,0.0,13.3176,7,0.02,4,20141111,20141118
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,84084,OFF-ST-10000107,55.5,2,0.0,9.99,2,0.18,3,20140513,20140515
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,94109,OFF-AR-10003056,8.56,2,0.0,2.4824,5,0.29,3,20140827,20140901
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,94109,TEC-PH-10001949,213.48,3,0.2,16.011,5,0.075,3,20140827,20140901
