row_id,order_id,order_date,ship_date,ship_mode,customer_id,postal_code,product_id,sales,quantity,discount,profit,shipping_duration_days,unit_price,unit_cost,profit_margin_pct,is_profitable,discount_bracket
1,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,42420,FUR-BO-10001798,261.96,2,0.0,41.9136,3,130.98,110.02,16.0,1,No Discount (0%)
2,CA-2016-152156,2016-11-08,2016-11-11,Second Class,CG-12520,42420,FUR-CH-10000454,731.94,3,0.0,219.582,3,243.98,170.79,30.0,1,No Discount (0%)
3,CA-2016-138688,2016-06-12,2016-06-16,Second Class,DV-13045,90036,OFF-LA-10000240,14.62,2,0.0,6.8714,4,7.31,3.87,47.0,1,No Discount (0%)
4,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,33311,FUR-TA-10000577,957.5775,5,0.45,-383.031,7,191.52,268.12,-40.0,0,Medium Discount (21-50%)
5,US-2015-108966,2015-10-11,2015-10-18,Standard Class,SO-20335,33311,OFF-ST-10000760,22.368,2,0.2,2.5164,7,11.18,9.93,11.25,1,Low Discount (1-20%)
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,FUR-FU-10001487,48.86,7,0.0,14.1694,5,6.98,4.96,29.0,1,No Discount (0%)
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,OFF-AR-10002833,7.28,4,0.0,1.9656,5,1.82,1.33,27.0,1,No Discount (0%)
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,TEC-PH-10002275,907.152,6,0.2,90.7152,5,151.19,136.07,10.0,1,Low Discount (1-20%)
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,OFF-BI-10003910,18.504,3,0.2,5.7825,5,6.17,4.24,31.25,1,Low Discount (1-20%)
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,OFF-AP-10002892,114.9,5,0.0,34.47,5,22.98,16.09,30.0,1,No Discount (0%)
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,FUR-TA-10001539,1706.184,9,0.2,85.3092,5,189.58,180.1,5.0,1,Low Discount (1-20%)
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,90032,TEC-PH-10002033,911.424,4,0.2,68.3568,5,227.86,210.77,7.5,1,Low Discount (1-20%)
13,CA-2017-114412,2017-04-15,2017-04-20,Standard Class,AA-10480,28027,OFF-PA-10002365,15.552,3,0.2,5.4432,5,5.18,3.37,35.0,1,Low Discount (1-20%)
14,CA-2016-161389,2016-12-05,2016-12-10,Standard Class,IM-15070,98103,OFF-BI-10003656,407.976,3,0.2,132.5922,5,135.99,91.79,32.5,1,Low Discount (1-20%)
