year_month,year,month,total_orders,monthly_sales,monthly_profit,profit_margin_pct
2014-01,2014,January,32,14236.9,2450.19,17.21
2014-02,2014,February,28,4519.89,862.31,19.08
2014-03,2014,March,71,55691.01,498.73,0.9
2014-04,2014,April,66,28295.35,3488.84,12.33
2014-05,2014,May,69,23648.29,2738.71,11.58
2014-06,2014,June,66,34595.13,4976.52,14.39
2014-07,2014,July,65,33946.39,-841.48,-2.48
2014-08,2014,August,72,27909.47,5318.1,19.05
2014-09,2014,September,130,81777.35,8328.1,10.18
2014-10,2014,October,78,31453.39,3448.26,10.96
2014-11,2014,November,151,78628.72,9292.13,11.82
2014-12,2014,December,141,69545.62,8983.57,12.92
2015-01,2015,January,29,18174.08,-3281.01,-18.05
2015-02,2015,February,36,11951.41,2813.85,23.54
2015-03,2015,March,79,38726.25,9732.1,25.13
2015-04,2015,April,72,34195.21,4187.5,12.25
2015-05,2015,May,74,30131.69,4667.87,15.49
2015-06,2015,June,68,24797.29,3335.56,13.45
2015-07,2015,July,66,28765.33,3288.65,11.43
2015-08,2015,August,68,36898.33,5355.81,14.52
2015-09,2015,September,140,64595.92,8209.16,12.71
2015-10,2015,October,87,31404.92,2817.37,8.97
2015-11,2015,November,158,75972.56,12474.79,16.42
2015-12,2015,December,161,74919.52,8016.97,10.7
2016-01,2016,January,48,18542.49,2824.82,15.23
2016-02,2016,February,45,22978.82,5004.58,21.78
2016-03,2016,March,86,51715.88,3611.97,6.98
2016-04,2016,April,89,38750.04,2977.81,7.68
2016-05,2016,May,108,56987.73,8662.15,15.2
2016-06,2016,June,97,40344.53,4750.38,11.77
2016-07,2016,July,96,39261.96,4432.88,11.29
2016-08,2016,August,90,31115.37,2062.07,6.63
2016-09,2016,September,192,73410.02,9328.66,12.71
2016-10,2016,October,105,59687.75,16243.14,27.21
2016-11,2016,November,183,79411.97,4011.41,5.05
2016-12,2016,December,176,96999.04,17885.31,18.44
2017-01,2017,January,69,43971.37,7140.44,16.24
2017-02,2017,February,53,20301.13,1613.87,7.95
2017-03,2017,March,118,58872.35,14751.89,25.06
2017-04,2017,April,116,36521.54,933.29,2.56
2017-05,2017,May,118,44261.11,6342.58,14.33
2017-06,2017,June,133,52981.73,8223.34,15.52
2017-07,2017,July,111,45264.42,6952.62,15.36
2017-08,2017,August,111,63120.89,9040.96,14.32
2017-09,2017,September,226,87866.65,10991.56,12.51
2017-10,2017,October,147,77776.92,9275.28,11.93
2017-11,2017,November,261,118447.82,9690.1,8.18
2017-12,2017,December,224,83829.32,8483.35,10.12
