year,quarter,order_count,quarterly_sales,quarterly_profit,profit_margin_pct
2014,Q1,131,74447.8,3811.23,5.12
2014,Q2,201,86538.76,11204.07,12.95
2014,Q3,267,143633.21,12804.72,8.91
2014,Q4,370,179627.73,21723.95,12.09
2015,Q1,144,68851.74,9264.94,13.46
2015,Q2,214,89124.19,12190.92,13.68
2015,Q3,274,130259.58,16853.62,12.94
2015,Q4,406,182297.01,23309.12,12.79
2016,Q1,179,93237.18,11441.37,12.27
2016,Q2,294,136082.3,16390.34,12.04
2016,Q3,378,143787.36,15823.6,11.0
2016,Q4,464,236098.75,38139.86,16.15
2017,Q1,240,123144.86,23506.2,19.09
2017,Q2,367,133764.37,15499.21,11.59
2017,Q3,448,196251.96,26985.13,13.75
2017,Q4,632,280054.07,27448.73,9.8
