month_number,month,total_orders,cumulative_sales,cumulative_profit,profit_margin_pct
1,January,178,94924.84,9134.45,9.62
2,February,162,59751.25,10294.61,17.23
3,March,354,205005.49,28594.69,13.95
4,April,343,137762.13,11587.44,8.41
5,May,369,155028.81,22411.31,14.46
6,June,364,152718.68,21285.8,13.94
7,July,338,147238.1,13832.66,9.39
8,August,341,159044.06,21776.94,13.69
9,September,688,307649.95,36857.48,11.98
10,October,417,200322.98,31784.04,15.87
11,November,753,352461.07,35468.43,10.06
12,December,702,325293.5,43369.19,13.33
