category,sub_category,total_orders,units_sold,total_sales,total_profit,profit_margin_pct,profit_rank
Technology,Copiers,68,234,149528.03,55617.82,37.2,1
Technology,Phones,814,3289,330007.05,44515.73,13.49,2
Technology,Accessories,718,2976,167380.32,41936.64,25.05,3
Office Supplies,Paper,1191,5178,78479.21,34053.57,43.39,4
Office Supplies,Binders,1316,5974,203412.73,30221.76,14.86,5
Furniture,Chairs,576,2356,328449.1,26590.17,8.1,6
Office Supplies,Storage,777,3158,223843.61,21278.83,9.51,7
Office Supplies,Appliances,451,1729,107532.16,18138.01,16.87,8
Furniture,Furnishings,877,3563,91705.16,13059.14,14.24,9
Office Supplies,Envelopes,249,906,16476.4,6964.18,42.27,10
Office Supplies,Art,731,3000,27118.79,6527.79,24.07,11
Office Supplies,Labels,346,1400,12486.31,5546.25,44.42,12
Technology,Machines,112,440,189238.63,3384.76,1.79,13
Office Supplies,Fasteners,215,914,3024.28,949.52,31.4,14
Office Supplies,Supplies,187,647,46673.54,-1189.1,-2.55,15
Furniture,Bookcases,224,868,114880.0,-3472.56,-3.02,16
Furniture,Tables,307,1241,206965.53,-17725.48,-8.56,17
