product_name,category,sub_category,total_quantity,total_sales,total_profit,profit_margin_pct,sales_rank
Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,20,61599.82,25199.93,40.91,1
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,31,27453.38,7753.04,28.24,2
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,6,22638.48,-1811.08,-8.0,3
HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs,39,21870.58,0.0,0.0,4
GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders,37,19823.48,2233.51,11.27,5
GBC Ibimaster 500 Manual ProClick Binding System,Office Supplies,Binders,48,19024.5,760.98,4.0,6
Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,38,18839.69,6983.88,37.07,7
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,12,18374.9,4094.98,22.29,8
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,27,17965.07,-1878.17,-10.45,9
High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,11,17030.31,-262.0,-1.54,10
