product_name,category,sub_category,total_quantity,total_sales,total_profit,profit_margin_pct,profit_rank
Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,20,61599.82,25199.93,40.91,1
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,31,27453.38,7753.04,28.24,2
Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,38,18839.69,6983.88,37.07,3
Canon PC1060 Personal Laser Copier,Technology,Copiers,19,11619.83,4570.93,39.34,4
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,12,18374.9,4094.98,22.29,5
Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,11,7699.89,3772.95,49.0,6
"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,11,14299.89,3717.97,26.0,7
Plantronics Savi W720 Multi-Device Wireless Headset System,Technology,Accessories,24,9367.29,3696.28,39.46,8
Ibico EPK-21 Electric Binding System,Office Supplies,Binders,13,15875.92,3345.28,21.07,9
Zebra ZM400 Thermal Label Printer,Technology,Machines,6,6965.7,3343.54,48.0,10
