product_name,category,sub_category,total_quantity,total_sales,total_loss,avg_discount_pct,profit_margin_pct,loss_rank
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,9,11099.96,-8879.97,53.33,-80.0,1
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,18,16829.9,-4589.97,40.0,-27.27,2
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,4,7999.98,-3839.99,50.0,-48.0,3
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,27,9917.64,-2876.12,28.0,-29.0,4
Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,33,9544.73,-1934.4,35.0,-20.27,5
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,27,17965.07,-1878.17,45.0,-10.45,6
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,6,22638.48,-1811.08,50.0,-8.0,7
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,22,16656.2,-1299.18,10.0,-7.8,8
Balt Solid Wood Round Tables,Furniture,Tables,19,6518.75,-1201.06,20.0,-18.42,9
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,15,1706.25,-1148.44,48.33,-67.31,10
