product_name,category,sub_category,total_sales,total_loss,avg_discount_pct,profit_margin_pct,transaction_count
Cubify CubeX 3D Printer Double Head Print,Technology,Machines,11099.96,-8879.97,53.33,-80.0,3
Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,16829.9,-4589.97,40.0,-27.27,4
Cubify CubeX 3D Printer Triple Head Print,Technology,Machines,7999.98,-3839.99,50.0,-48.0,1
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables,9917.64,-2876.12,28.0,-29.0,5
Bush Advantage Collection Racetrack Conference Table,Furniture,Tables,9544.73,-1934.4,35.0,-20.27,7
GBC DocuBind P400 Electric Binding System,Office Supplies,Binders,17965.07,-1878.17,45.0,-10.45,6
Cisco TelePresence System EX90 Videoconferencing Unit,Technology,Machines,22638.48,-1811.08,50.0,-8.0,1
Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies,16656.2,-1299.18,10.0,-7.8,6
Balt Solid Wood Round Tables,Furniture,Tables,6518.75,-1201.06,20.0,-18.42,4
"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Furniture,Tables,4446.18,-1147.4,30.0,-25.81,5
Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs,5282.42,-989.05,21.67,-18.72,6
Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables,Furniture,Tables,5634.9,-964.19,22.5,-17.11,4
"Bevis Oval Conference Table, Walnut",Furniture,Tables,6942.07,-856.01,27.5,-12.33,8
Tennsco Single-Tier Lockers,Office Supplies,Storage,9158.3,-825.75,7.5,-9.02,8
O'Sullivan Living Dimensions 5-Shelf Bookcases,Furniture,Bookcases,3420.77,-755.75,24.0,-22.09,6
Hon 94000 Series Round Tables,Furniture,Tables,7404.5,-681.21,16.0,-9.2,5
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,15610.97,-669.54,23.4,-4.29,5
"SAFCO Commercial Wire Shelving, Black",Office Supplies,Storage,4199.46,-635.44,14.0,-15.13,10
"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Furniture,Tables,4297.64,-611.59,33.33,-14.23,6
Hon Racetrack Conference Tables,Furniture,Tables,3963.9,-598.52,28.33,-15.1,6
Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,7242.77,-532.76,26.25,-7.36,8
Tenex Antistatic Computer Chair Mats,Furniture,Furnishings,3317.01,-530.04,23.33,-15.98,6
"Global Wood Trimmed Manager's Task Chair, Khaki",Furniture,Chairs,4166.88,-503.12,22.86,-12.07,14
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Furniture,Chairs,3680.54,-491.18,18.89,-13.35,9
"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs,5436.16,-474.74,18.57,-8.73,14
SAFCO Boltless Steel Shelving,Office Supplies,Storage,4704.7,-470.47,10.0,-10.0,10
GBC ProClick 150 Presentation Binding System,Office Supplies,Binders,3223.0,-461.33,50.0,-14.31,5
Chromcraft Rectangular Conference Tables,Furniture,Tables,4952.67,-450.24,32.22,-9.09,9
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Furniture,Tables,5098.18,-404.01,31.67,-7.92,6
Hon 2111 Invitation Series Corner Table,Furniture,Tables,3140.55,-401.99,20.0,-12.8,4
"Iceberg OfficeWorks 42"" Round Tables",Furniture,Tables,3457.44,-392.55,20.0,-11.35,7
Fellowes Officeware Wire Shelving,Office Supplies,Storage,4509.47,-332.37,7.27,-7.37,11
Bretford Rectangular Conference Table Tops,Furniture,Tables,12995.29,-327.23,24.58,-2.52,12
Ibico Hi-Tech Manual Binding System,Office Supplies,Binders,5398.32,-304.99,42.73,-5.65,11
Hon Rectangular Conference Tables,Furniture,Tables,3481.51,-295.81,32.5,-8.5,4
High Speed Automatic Electric Letter Opener,Office Supplies,Supplies,17030.31,-262.0,6.67,-1.54,3
KI Adjustable-Height Table,Furniture,Tables,4552.64,-248.48,23.61,-5.46,18
Hon 5100 Series Wood Tables,Furniture,Tables,5965.09,-238.6,21.43,-4.0,7
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,3626.01,-208.65,23.38,-5.75,8
High-Back Leather Manager's Chair,Furniture,Chairs,4770.63,-197.58,16.67,-4.14,9
"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,4544.93,-192.19,26.0,-4.23,5
Chromcraft Round Conference Tables,Furniture,Tables,8209.06,-189.98,25.77,-2.31,13
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Office Supplies,Storage,3178.13,-167.27,4.0,-5.26,5
Bevis 44 x 96 Conference Tables,Furniture,Tables,3253.22,-164.72,18.0,-5.06,5
Samsung Galaxy Note 2,Technology,Phones,4507.9,-128.8,30.0,-2.86,2
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,5184.08,-126.44,26.67,-2.44,6
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Furniture,Tables,5801.82,-66.83,18.0,-1.15,5
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",Office Supplies,Storage,4384.04,-36.53,2.86,-0.83,7
Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage,3028.65,-3.24,6.67,-0.11,12
