year_month,monthly_sales,running_total_sales,monthly_profit,running_total_profit
2014-01,14236.9,14236.9,2450.19,2450.19
2014-02,4519.89,18756.79,862.31,3312.5
2014-03,55691.01,74447.8,498.73,3811.23
2014-04,28295.35,102743.14,3488.84,7300.06
2014-05,23648.29,126391.43,2738.71,10038.77
2014-06,34595.13,160986.56,4976.52,15015.3
2014-07,33946.39,194932.95,-841.48,14173.82
2014-08,27909.47,222842.42,5318.1,19491.92
2014-09,81777.35,304619.77,8328.1,27820.02
2014-10,31453.39,336073.16,3448.26,31268.28
2014-11,78628.72,414701.88,9292.13,40560.4
2014-12,69545.62,484247.5,8983.57,49543.97
2015-01,18174.08,502421.57,-3281.01,46262.97
2015-02,11951.41,514372.98,2813.85,49076.82
2015-03,38726.25,553099.24,9732.1,58808.92
2015-04,34195.21,587294.45,4187.5,62996.41
2015-05,30131.69,617426.13,4667.87,67664.28
2015-06,24797.29,642223.42,3335.56,70999.84
2015-07,28765.33,670988.75,3288.65,74288.49
2015-08,36898.33,707887.08,5355.81,79644.29
2015-09,64595.92,772483.0,8209.16,87853.46
2015-10,31404.92,803887.92,2817.37,90670.82
2015-11,75972.56,879860.49,12474.79,103145.61
2015-12,74919.52,954780.01,8016.97,111162.58
2016-01,18542.49,973322.5,2824.82,113987.4
2016-02,22978.82,996301.31,5004.58,118991.98
2016-03,51715.88,1048017.19,3611.97,122603.95
2016-04,38750.04,1086767.23,2977.81,125581.76
2016-05,56987.73,1143754.96,8662.15,134243.91
2016-06,40344.53,1184099.49,4750.38,138994.29
2016-07,39261.96,1223361.45,4432.88,143427.17
2016-08,31115.37,1254476.83,2062.07,145489.24
2016-09,73410.02,1327886.85,9328.66,154817.89
2016-10,59687.75,1387574.6,16243.14,171061.04
2016-11,79411.97,1466986.56,4011.41,175072.44
2016-12,96999.04,1563985.61,17885.31,192957.75
2017-01,43971.37,1607956.98,7140.44,200098.19
2017-02,20301.13,1628258.11,1613.87,201712.06
2017-03,58872.35,1687130.47,14751.89,216463.95
2017-04,36521.54,1723652.0,933.29,217397.24
2017-05,44261.11,1767913.11,6342.58,223739.83
2017-06,52981.73,1820894.84,8223.34,231963.16
2017-07,45264.42,1866159.25,6952.62,238915.78
2017-08,63120.89,1929280.14,9040.96,247956.74
2017-09,87866.65,2017146.79,10991.56,258948.3
2017-10,77776.92,2094923.72,9275.28,268223.57
2017-11,118447.82,2213371.54,9690.1,277913.67
2017-12,83829.32,2297200.86,8483.35,286397.02
