year_month,monthly_sales,rolling_3m_avg_sales
2014-01,14236.9,14236.9
2014-02,4519.89,9378.4
2014-03,55691.01,24815.93
2014-04,28295.35,29502.08
2014-05,23648.29,35878.22
2014-06,34595.13,28846.26
2014-07,33946.39,30729.94
2014-08,27909.47,32150.33
2014-09,81777.35,47877.74
2014-10,31453.39,47046.74
2014-11,78628.72,63953.15
2014-12,69545.62,59875.91
2015-01,18174.08,55449.47
2015-02,11951.41,33223.7
2015-03,38726.25,22950.58
2015-04,34195.21,28290.96
2015-05,30131.69,34351.05
2015-06,24797.29,29708.06
2015-07,28765.33,27898.1
2015-08,36898.33,30153.65
2015-09,64595.92,43419.86
2015-10,31404.92,44299.72
2015-11,75972.56,57324.47
2015-12,74919.52,60765.67
2016-01,18542.49,56478.19
2016-02,22978.82,38813.61
2016-03,51715.88,31079.06
2016-04,38750.04,37814.91
2016-05,56987.73,49151.22
2016-06,40344.53,45360.77
2016-07,39261.96,45531.41
2016-08,31115.37,36907.29
2016-09,73410.02,47929.12
2016-10,59687.75,54737.71
2016-11,79411.97,70836.58
2016-12,96999.04,78699.59
2017-01,43971.37,73460.79
2017-02,20301.13,53757.18
2017-03,58872.35,41048.28
2017-04,36521.54,38565.01
2017-05,44261.11,46551.67
2017-06,52981.73,44588.13
2017-07,45264.42,47502.42
2017-08,63120.89,53789.01
2017-09,87866.65,65417.32
2017-10,77776.92,76254.82
2017-11,118447.82,94697.13
2017-12,83829.32,93351.35
